"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","eeax0vseeax1",35.088479071695,35.9181736794987,-0.829694607803674,28956,5585,-5.19747386357135
"diploma","eeax0vseeax1",0.411216566005177,0.369565217391304,0.0416513486138725,28975,5566,5.87730915366451
"experience_months","eeax0vseeax1",43.9721368642751,44.3571172463248,-0.38498038204974,28963,5578,-0.410097160467311
"formation","eeax0vseeax1",4.44325883702339,3.93889798145117,0.504360855572218,28771,5499,12.0244053247378
"male","eeax0vseeax1",0.496380200214763,0.529090267983075,-0.0327100677683115,28869,5672,-4.51036644582624
"part_time","eeax0vseeax1",0.21595951192457,0.303138373751783,-0.087178861827213,28848,5608,-13.2112025444646
"age","eeax0vsfrenchx0",35.088479071695,32.0439285404884,3.04455053120657,28956,4409434,48.5728928463066
"diploma","eeax0vsfrenchx0",0.411216566005177,0.656295625111336,-0.245079059106159,28975,4412318,-84.5226119047265
"experience_months","eeax0vsfrenchx0",43.9721368642751,48.2713984372342,-4.29926157295909,28963,4408850,-11.3461468966569
"formation","eeax0vsfrenchx0",4.44325883702339,6.20413364611574,-1.76087480909235,28771,4359154,-97.4218246541653
"male","eeax0vsfrenchx0",0.496380200214763,0.493381357562296,0.00299884265246697,28869,4408608,1.01574878453881
"part_time","eeax0vsfrenchx0",0.21595951192457,0.211702476786162,0.00425703513840772,28848,4403085,1.75147715764276
"age","eeax0vsfrenchx1",35.088479071695,32.4341315352336,2.65434753646134,28956,609829,41.2887987559462
"diploma","eeax0vsfrenchx1",0.411216566005177,0.599092174744005,-0.187875608738828,28975,606945,-63.5059542207387
"experience_months","eeax0vsfrenchx1",43.9721368642751,45.9640161661039,-1.99187930182882,28963,610413,-5.11486973095161
"formation","eeax0vsfrenchx1",4.44325883702339,5.32935482197918,-0.886095984955793,28771,597711,-48.6441962144127
"male","eeax0vsfrenchx1",0.496380200214763,0.538724811882323,-0.0423446116675599,28869,610655,-14.0629370367639
"part_time","eeax0vsfrenchx1",0.21595951192457,0.277167339372346,-0.0612078274477757,28848,608488,-24.58388632615
"age","eeax0vsnon-eeax0",35.088479071695,37.1573837963584,-2.06890472466345,28956,44706,-25.6306793649046
"diploma","eeax0vsnon-eeax0",0.411216566005177,0.416058557550253,-0.00484199154507609,28975,44674,-1.30366287372913
"experience_months","eeax0vsnon-eeax0",43.9721368642751,54.7015743101212,-10.7294374458461,28963,44718,-20.0763619777522
"formation","eeax0vsnon-eeax0",4.44325883702339,4.62368859471385,-0.180429757690463,28771,44418,-7.70310433385043
"male","eeax0vsnon-eeax0",0.496380200214763,0.536279017606818,-0.0398988173920551,28869,44585,-10.5740840856085
"part_time","eeax0vsnon-eeax0",0.21595951192457,0.281958924336659,-0.0659994124120892,28848,44698,-20.4663457590688
"age","eeax0vsnon-eeax1",35.088479071695,38.2273532216319,-3.13887414993695,28956,14682,-29.4919686124741
"diploma","eeax0vsnon-eeax1",0.411216566005177,0.329686013320647,0.0815305526845299,28975,14714,16.8627881766212
"experience_months","eeax0vsnon-eeax1",43.9721368642751,60.407430129516,-16.4352932652409,28963,14670,-20.9005208812061
"formation","eeax0vsnon-eeax1",4.44325883702339,3.763346668506,0.679912168517391,28771,14498,22.3202733467919
"male","eeax0vsnon-eeax1",0.496380200214763,0.611565223265554,-0.115185023050791,28869,14803,-23.1725538717744
"part_time","eeax0vsnon-eeax1",0.21595951192457,0.307665911742502,-0.0917063998179321,28848,14571,-20.2598807826477
"age","eeax1vsfrenchx0",35.9181736794987,32.0439285404884,3.87424513901024,5585,4409434,26.3535881126578
"diploma","eeax1vsfrenchx0",0.369565217391304,0.656295625111336,-0.286730407720032,5566,4412318,-44.2869438511227
"experience_months","eeax1vsfrenchx0",44.3571172463248,48.2713984372342,-3.91428119090935,5578,4408850,-4.54937326336661
"formation","eeax1vsfrenchx0",3.93889798145117,6.20413364611574,-2.26523566466456,5499,4359154,-59.8068422679609
"male","eeax1vsfrenchx0",0.529090267983075,0.493381357562296,0.0357089104207785,5672,4408608,5.38384635221818
"part_time","eeax1vsfrenchx0",0.303138373751783,0.211702476786162,0.0914358969656207,5608,4403085,14.889150915699
"age","eeax1vsfrenchx1",35.9181736794987,32.4341315352336,3.48404214426501,5585,609829,23.5882219454575
"diploma","eeax1vsfrenchx1",0.369565217391304,0.599092174744005,-0.2295269573527,5566,606945,-35.3067563666933
"experience_months","eeax1vsfrenchx1",44.3571172463248,45.9640161661039,-1.60689891977908,5578,610413,-1.85751361885223
"formation","eeax1vsfrenchx1",3.93889798145117,5.32935482197918,-1.39045684052801,5499,597711,-36.6455464583502
"male","eeax1vsfrenchx1",0.529090267983075,0.538724811882323,-0.00963454389924834,5672,610655,-1.4468556832775
"part_time","eeax1vsfrenchx1",0.303138373751783,0.277167339372346,0.0259710343794373,5608,608488,4.2128048645462
"age","eeax1vsnon-eeax0",35.9181736794987,37.1573837963584,-1.23921011685977,5585,44706,-7.966126231192
"diploma","eeax1vsnon-eeax0",0.369565217391304,0.416058557550253,-0.0464933401589486,5566,44674,-6.75985692947989
"experience_months","eeax1vsnon-eeax0",44.3571172463248,54.7015743101212,-10.3444570637964,5578,44718,-11.0126823727258
"formation","eeax1vsnon-eeax0",3.93889798145117,4.62368859471385,-0.684790613262682,5499,44418,-16.8251647818424
"male","eeax1vsnon-eeax0",0.529090267983075,0.536279017606818,-0.00718874962374361,5672,44585,-1.02163452137998
"part_time","eeax1vsnon-eeax0",0.303138373751783,0.281958924336659,0.0211794494151238,5608,44698,3.26011791820323
"age","eeax1vsnon-eeax1",35.9181736794987,38.2273532216319,-2.30917954213327,5585,14682,-13.5574304740063
"diploma","eeax1vsnon-eeax1",0.369565217391304,0.329686013320647,0.0398792040706573,5566,14714,5.28738671870801
"experience_months","eeax1vsnon-eeax1",44.3571172463248,60.407430129516,-16.0503128831912,5578,14670,-14.5607300791987
"formation","eeax1vsnon-eeax1",3.93889798145117,3.763346668506,0.175551312945172,5499,14498,3.89078248352552
"male","eeax1vsnon-eeax1",0.529090267983075,0.611565223265554,-0.0824749552824795,5672,14803,-10.6489409520015
"part_time","eeax1vsnon-eeax1",0.303138373751783,0.307665911742502,-0.00452753799071909,5608,14571,-0.626083644037551
"age","frenchx0vsfrenchx1",32.0439285404884,32.4341315352336,-0.390202994745231,4409434,609829,-24.1173800309043
"diploma","frenchx0vsfrenchx1",0.656295625111336,0.599092174744005,0.0572034503673312,4412318,606945,85.5744208298658
"experience_months","frenchx0vsfrenchx1",48.2713984372342,45.9640161661039,2.30738227113027,4408850,610413,22.3228391548045
"formation","frenchx0vsfrenchx1",6.20413364611574,5.32935482197918,0.874778824136554,4359154,597711,329.807025229885
"male","frenchx0vsfrenchx1",0.493381357562296,0.538724811882323,-0.0453434543200268,4408608,610655,-66.5924138530982
"part_time","frenchx0vsfrenchx1",0.211702476786162,0.277167339372346,-0.0654648625861834,4403085,608488,-108.039916750806
"age","frenchx0vsnon-eeax0",32.0439285404884,37.1573837963584,-5.11345525587002,4409434,44706,-99.4338593702984
"diploma","frenchx0vsnon-eeax0",0.656295625111336,0.416058557550253,0.240237067561083,4412318,44674,102.534258572541
"experience_months","frenchx0vsnon-eeax0",48.2713984372342,54.7015743101212,-6.43017587288701,4408850,44718,-16.9071210586624
"formation","frenchx0vsnon-eeax0",6.20413364611574,4.62368859471385,1.58044505140188,4359154,44418,105.632320658895
"male","frenchx0vsnon-eeax0",0.493381357562296,0.536279017606818,-0.0428976600445221,4408608,44585,-18.0718765341062
"part_time","frenchx0vsnon-eeax0",0.211702476786162,0.281958924336659,-0.0702564475504969,4403085,44698,-32.8736827253372
"age","frenchx0vsnon-eeax1",32.0439285404884,38.2273532216319,-6.18342468114351,4409434,14682,-71.6076719666777
"diploma","frenchx0vsnon-eeax1",0.656295625111336,0.329686013320647,0.326609611790689,4412318,14714,84.1302823220713
"experience_months","frenchx0vsnon-eeax1",48.2713984372342,60.407430129516,-12.1360316922818,4408850,14670,-17.5647065632697
"formation","frenchx0vsnon-eeax1",6.20413364611574,3.763346668506,2.44078697760974,4359154,14498,99.385885009048
"male","frenchx0vsnon-eeax1",0.493381357562296,0.611565223265554,-0.118183865703258,4408608,14803,-29.4491088132483
"part_time","frenchx0vsnon-eeax1",0.211702476786162,0.307665911742502,-0.0959634349563398,4403085,14571,-25.0654658640577
"age","frenchx1vsnon-eeax0",32.4341315352336,37.1573837963584,-4.72325226112478,609829,44706,-88.495130935091
"diploma","frenchx1vsnon-eeax0",0.599092174744005,0.416058557550253,0.183033617193752,606945,44674,75.7773893416052
"experience_months","frenchx1vsnon-eeax0",45.9640161661039,54.7015743101212,-8.73755814401727,610413,44718,-22.3583232762275
"formation","frenchx1vsnon-eeax0",5.32935482197918,4.62368859471385,0.705666227265329,597711,44418,46.634249089231
"male","frenchx1vsnon-eeax0",0.538724811882323,0.536279017606818,0.00244579427550473,610655,44585,0.999757400192473
"part_time","frenchx1vsnon-eeax0",0.277167339372346,0.281958924336659,-0.00479158496431348,608488,44698,-2.17377103000813
"age","frenchx1vsnon-eeax1",32.4341315352336,38.2273532216319,-5.79322168639828,609829,14682,-66.1892482855146
"diploma","frenchx1vsnon-eeax1",0.599092174744005,0.329686013320647,0.269406161423358,606945,14714,68.6154438375045
"experience_months","frenchx1vsnon-eeax1",45.9640161661039,60.407430129516,-14.4434139634121,610413,14670,-20.7296165498775
"formation","frenchx1vsnon-eeax1",5.32935482197918,3.763346668506,1.56600815347318,597711,14498,63.4969457989043
"male","frenchx1vsnon-eeax1",0.538724811882323,0.611565223265554,-0.0728404113832312,610655,14803,-17.9562100209671
"part_time","frenchx1vsnon-eeax1",0.277167339372346,0.307665911742502,-0.0304985723701564,608488,14571,-7.88815729354986
"age","non-eeax0vsnon-eeax1",37.1573837963584,38.2273532216319,-1.0699694252735,44706,14682,-10.6765100485882
"diploma","non-eeax0vsnon-eeax1",0.416058557550253,0.329686013320647,0.0863725442296059,44674,14714,19.0957218759765
