"group_label","n_total","mean_age","mean_male","mean_diploma","mean_part_time","mean_formation","mean_experience_months","mean_monthly_wage"
"eeax0",30234,35.0809684461203,0.490143547000066,0.424356684527353,0.244671329598568,4.53172195365894,44.0912879539591,NA
"eeax1",4307,36.1920130020896,0.583236591595078,0.26514975621082,0.158604651162791,3.17380116959064,43.634316229394,NA
"frenchx0",4650551,31.9409637696694,0.492813217186523,0.647904517120659,0.227653377495649,6.11694810971978,47.2534308300242,NA
"frenchx1",368712,34.0112011542884,0.575644405389572,0.66796849573651,0.160761024665353,5.86869850827973,57.2910510100024,NA
"non-eeax0",55357,37.309482088986,0.557833697635349,0.396318442112109,0.288278182837914,4.44907660364987,56.0292645916506,NA
"non-eeax1",4031,39.2163234929298,0.516745224510047,0.371868022823121,0.328280318091451,3.90399002493766,57.2339369883404,NA
"eeax0",121424,NA,NA,NA,NA,NA,NA,1433.18859200409
"eeax1",23386,NA,NA,NA,NA,NA,NA,1614.60159793296
"frenchx0",18261183,NA,NA,NA,NA,NA,NA,1412.14362074237
"frenchx1",1534905,NA,NA,NA,NA,NA,NA,1629.1373130791
"non-eeax0",214154,NA,NA,NA,NA,NA,NA,1392.77217306199
"non-eeax1",17884,NA,NA,NA,NA,NA,NA,1363.68139195401
