"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","eeax0vseeax1",35.0604102006207,36.0994525547445,-1.03904235412379,31253,3288,-4.81891510691719
"diploma","eeax0vseeax1",0.433373965484057,0.137214137214137,0.29615982826992,31174,3367,45.138444931133
"experience_months","eeax0vseeax1",44.8408981555734,36.5638740344623,8.2770241211111,31175,3366,8.30845820436073
"formation","eeax0vseeax1",4.57600336069282,2.37304452466907,2.20295883602375,30946,3324,47.0868844660863
"male","eeax0vseeax1",0.496361596409681,0.552002390914525,-0.0556407945048438,31195,3346,-6.14660050116333
"part_time","eeax0vseeax1",0.252243014611638,0.0485556238475722,0.203687390764066,31208,3254,45.2686753794427
"age","eeax0vsfrenchx0",35.0604102006207,32.0322414820466,3.02816871857413,31253,4962489,50.5559534886678
"diploma","eeax0vsfrenchx0",0.433373965484057,0.649918170568009,-0.216544205083952,31174,4961540,-76.9300027735364
"experience_months","eeax0vsfrenchx0",44.8408981555734,48.0117820202304,-3.17088386465702,31175,4961543,-8.55366397624934
"formation","eeax0vsfrenchx0",4.57600336069282,6.1062351171161,-1.53023175642328,30946,4899924,-89.5809900736541
"male","eeax0vsfrenchx0",0.496361596409681,0.497577724253998,-0.00121612784431729,31195,4961450,-0.428247887883743
"part_time","eeax0vsfrenchx0",0.252243014611638,0.220644172292816,0.0315988423188223,31208,4956469,12.8163529889204
"age","eeax0vsfrenchx1",35.0604102006207,32.6802057279741,2.38020447264667,31253,56774,30.0636105433728
"diploma","eeax0vsfrenchx1",0.433373965484057,0.602983212930721,-0.169609247446664,31174,57723,-48.9115982779219
"experience_months","eeax0vsfrenchx1",44.8408981555734,46.186191961192,-1.34529380561858,31175,57720,-2.77916559602428
"formation","eeax0vsfrenchx1",4.57600336069282,5.445987952442,-0.869984591749182,30946,56941,-45.4584356900187
"male","eeax0vsfrenchx1",0.496361596409681,0.612197948558283,-0.115836352148602,31195,57813,-33.2723647508317
"part_time","eeax0vsfrenchx1",0.252243014611638,0.180050718512257,0.0721922960993811,31208,56784,24.5546559456934
"age","eeax0vsnon-eeax0",35.0604102006207,37.2860973136483,-2.22568711302758,31253,58183,-29.9200067657136
"diploma","eeax0vsnon-eeax0",0.433373965484057,0.397491267615328,0.0358826978687295,31174,58117,10.3591804237956
"experience_months","eeax0vsnon-eeax0",44.8408981555734,56.3769975745274,-11.536099418954,31175,58133,-23.0738620902442
"formation","eeax0vsnon-eeax0",4.57600336069282,4.43494855913531,0.141054801557512,30946,57639,6.58010503755177
"male","eeax0vsnon-eeax0",0.496361596409681,0.557900712147796,-0.0615391157381154,31195,58134,-17.5777613195205
"part_time","eeax0vsnon-eeax0",0.252243014611638,0.292156693930263,-0.0399136793186246,31208,58075,-12.8787059001179
"age","eeax0vsnon-eeax1",35.0604102006207,42.0066390041494,-6.94622880352864,31253,1205,-22.0645782482703
"diploma","eeax0vsnon-eeax1",0.433373965484057,0.265145554681353,0.168228410802704,31174,1271,13.2460296425271
"experience_months","eeax0vsnon-eeax1",44.8408981555734,43.791235059761,1.04966309581242,31175,1255,0.575992459905159
"formation","eeax0vsnon-eeax1",4.57600336069282,3.37509788566954,1.20090547502328,30946,1277,13.2321543821626
"male","eeax0vsnon-eeax1",0.496361596409681,0.422647527910686,0.0737140684989952,31195,1254,5.17677667296515
"part_time","eeax0vsnon-eeax1",0.252243014611638,0.131795716639209,0.120447297972429,31208,1214,12.0221028118293
"age","eeax1vsfrenchx0",36.0994525547445,32.0322414820466,4.06721107269792,3288,4962489,19.6240407893705
