"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","eeavsfrench",35.2249790104513,32.1300804520504,3.09489855840092,34541,5019263,53.5944290007276
"diploma","eeavsfrench",0.404504791407313,0.64937840475783,-0.244873613350517,34541,5019263,-92.4260333839715
"experience_months","eeavsfrench",44.0343070553835,47.9907882890377,-3.95648123365419,34541,5019263,-11.4001411702466
"formation","eeavsfrench",4.36232856725999,6.09865065923724,-1.73632209197725,34270,4956865,-105.995527113839
"male","eeavsfrench",0.50175154164616,0.498897945774111,0.00285359587204898,34541,5019263,1.05705383368586
"part_time","eeavsfrench",0.231365153053823,0.219569995782629,0.0117951572711933,34465,5012602,5.17539727873739
"age","eeavsnon-eea",35.2249790104513,37.4464369906378,-2.22145798018649,34541,59388,-30.6626836493235
"diploma","eeavsnon-eea",0.404504791407313,0.394658853640466,0.00984593776684695,34541,59388,2.9690961235745
"experience_months","eeavsnon-eea",44.0343070553835,56.1110325318246,-12.0767254764412,34541,59388,-25.1968100510583
"formation","eeavsnon-eea",4.36232856725999,4.41197637314142,-0.0496478058814276,34270,58916,-2.38597107408579
"male","eeavsnon-eea",0.50175154164616,0.555044790193305,-0.0532932485471453,34541,59388,-15.7864858218681
"part_time","eeavsnon-eea",0.231365153053823,0.288747954863629,-0.0573828018098068,34465,59287,-19.5399790857041
"age","frenchvsnon-eea",32.1300804520504,37.4464369906378,-5.31635653858741,5019263,59388,-119.915900680479
"diploma","frenchvsnon-eea",0.64937840475783,0.394658853640466,0.254719551117364,5019263,59388,126.287986967359
"experience_months","frenchvsnon-eea",47.9907882890377,56.1110325318246,-8.12024424278696,5019263,59388,-24.3109113983415
"formation","frenchvsnon-eea",6.09865065923724,4.41197637314142,1.68667428609582,4956865,58916,130.780741147452
"male","frenchvsnon-eea",0.498897945774111,0.555044790193305,-0.0561468444191943,5019263,59388,-27.3692930385976
"part_time","frenchvsnon-eea",0.219569995782629,0.288747954863629,-0.069177959081,5012602,59287,-36.9862391038389
"monthly_wage","eeavsfrench",1463.63326034163,1428.83902685552,34.7942334861129,50304,6832997,7.38712125030137
"monthly_wage","eeavsnon-eea",1463.63326034163,1390.3042358582,73.3290244834275,50304,88748,7.81858614086391
"monthly_wage","frenchvsnon-eea",1428.83902685552,1390.3042358582,38.5347909973145,6832997,88748,4.72595516524469
